class 名稱,分類,樣式（全部值）,使用範例
pb-32,定位,padding-bottom:calc(var(--spacing)*32),"class=""pb-32"""
pb-4,定位,padding-bottom:calc(var(--spacing)*4),"class=""pb-4"""
pb-5,定位,padding-bottom:calc(var(--spacing)*5),"class=""pb-5"""
pb-6,定位,padding-bottom:calc(var(--spacing)*6),"class=""pb-6"""
pb-7,定位,padding-bottom:calc(var(--spacing)*7),"class=""pb-7"""
pb-8,定位,padding-bottom:calc(var(--spacing)*8),"class=""pb-8"""
pl-0,定位,padding-left:calc(var(--spacing)*0),"class=""pl-0"""
pl-1,定位,padding-left:calc(var(--spacing)*1),"class=""pl-1"""
pl-10,定位,padding-left:calc(var(--spacing)*10),"class=""pl-10"""
pl-2,定位,padding-left:calc(var(--spacing)*2),"class=""pl-2"""
pl-3,定位,padding-left:calc(var(--spacing)*3),"class=""pl-3"""
pl-4,定位,padding-left:calc(var(--spacing)*4),"class=""pl-4"""
pl-5,定位,padding-left:calc(var(--spacing)*5),"class=""pl-5"""
pl-6,定位,padding-left:calc(var(--spacing)*6),"class=""pl-6"""
pl-8,定位,padding-left:calc(var(--spacing)*8),"class=""pl-8"""
pr-0,定位,padding-right:calc(var(--spacing)*0),"class=""pr-0"""
pr-1,定位,padding-right:calc(var(--spacing)*1),"class=""pr-1"""
pr-10,定位,padding-right:calc(var(--spacing)*10),"class=""pr-10"""
pr-12,定位,padding-right:calc(var(--spacing)*12),"class=""pr-12"""
pr-16,定位,padding-right:calc(var(--spacing)*16),"class=""pr-16"""
pr-2,定位,padding-right:calc(var(--spacing)*2),"class=""pr-2"""
pr-20,定位,padding-right:calc(var(--spacing)*20),"class=""pr-20"""
pr-3,定位,padding-right:calc(var(--spacing)*3),"class=""pr-3"""
pr-4,定位,padding-right:calc(var(--spacing)*4),"class=""pr-4"""
pr-5,定位,padding-right:calc(var(--spacing)*5),"class=""pr-5"""
pr-6,定位,padding-right:calc(var(--spacing)*6),"class=""pr-6"""
pr-8,定位,padding-right:calc(var(--spacing)*8),"class=""pr-8"""
pr-9,定位,padding-right:calc(var(--spacing)*9),"class=""pr-9"""
pt-0,定位,padding-top:calc(var(--spacing)*0),"class=""pt-0"""
pt-1,定位,padding-top:calc(var(--spacing)*1),"class=""pt-1"""
pt-10,定位,padding-top:calc(var(--spacing)*10),"class=""pt-10"""
pt-12,定位,padding-top:calc(var(--spacing)*12),"class=""pt-12"""
pt-14,定位,padding-top:calc(var(--spacing)*14),"class=""pt-14"""
pt-2,定位,padding-top:calc(var(--spacing)*2),"class=""pt-2"""
